N,ID,縣市,鄉鎮市區,路名,郵遞區號,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
0,PU-1,新北市,樹林區,大有路,238,2.0393784158445825,5,3,7,2,4,2,13.916666666666666,0.4722017779864632,0.1461762930847089,1.0,288745,2760266,,0.8496638427134873,0.1461606792844003,-0.4384519028208025
1,PU-2,新北市,三重區,力行路一段,241,-0.0777861276769849,5,5,5,2,4,1,40.833333333333336,-0.5464545001161122,-0.8193256863726953,0.0,298751,2773492,,-0.0041021165165111,0.0642566584481619,-0.4384519028208025
2,PU-3,新北市,板橋區,民生路三段,220,-0.555765608691798,5,2,20,10,4,0,1.3333333333333333,0.1240316118668014,-0.167418749843056,1.0,297000,2769106,,-0.2858618565407251,-0.7752595551232808,1.3230424838007822
3,PU-4,新北市,泰山區,明志路二段,243,-0.7448376409295061,5,6,16,2,4,0,27.5,-0.0270719420762203,0.115280229742072,1.0,293076,2771160,,0.0275817096709508,0.3167940560265634,-0.1395316432728971
4,PU-5,台北市,信義區,忠孝東路五段,110,-0.6109226334770453,5,3,7,2,4,2,40.5,-0.8635996019280814,-0.8193256863726953,0.0,308103,2770220,,-0.8833282932185769,-0.5602615004281553,-0.0754773019412033
5,PU-6,新北市,三重區,溪尾街,241,0.5490572363530009,5,5,5,2,4,1,35.0,-0.3936273314893298,-0.8193256863726953,0.0,299276,2775194,,0.2643617321611787,-0.056893039038774,-0.4384519028208025
6,PU-7,新北市,泰山區,明志路二段,243,-0.6959533758257184,5,8,14,10,4,0,3.75,-0.511982206440898,0.7996280327814802,1.0,293078,2771217,,-0.75008648844809,-0.8742269136337354,0.3686327979585416
7,PU-8,新北市,泰山區,仁義路,243,-0.7807197489924143,5,3,13,2,4,0,17.75,-0.1144017527200955,0.3145598383020802,1.0,293716,2771834,,-0.1942050736412821,-0.2121694118741422,0.1529831821418385
8,PU-9,桃園市,蘆竹區,中山路,338,-0.2272748833041037,5,14,14,2,4,0,22.75,1.2242723183340505,0.8382481119597762,1.0,280095,2772017,,1.6324240843269413,0.9669072214142048,-0.3018026413131885
9,PU-10,新北市,新莊區,幸福路,242,0.2198455041053685,5,4,5,2,4,1,41.333333333333336,-0.6309116196203864,-0.8193256863726953,0.0,295761,2771317,,0.0001412530621669,-0.7889102252626539,-0.4384519028208025
10,PU-11,新北市,鶯歌區,光復街,239,0.6320691594938479,5,3,5,2,4,1,24.916666666666668,-0.2402256246346273,-0.8193256863726953,0.0,285415,2761046,,0.1693102535987932,0.2877863819803957,-0.2868566283357935
11,PU-12,台北市,松山區,民生東路五段,105,3.164701889273614,5,3,4,2,4,1,51.75,-0.102336449933771,-0.8193256863726953,0.0,306463,2772234,,1.001576473630157,-1.6420771089734696,-0.4384519028208025
12,PU-13,高雄市,岡山區,岡山路,820,0.9567625820858696,5,4,12,2,4,0,15.833333333333334,1.0421437000833358,-0.8193256863726953,0.0,177658,2521171,,0.5331084721441138,0.6597671432783114,-0.4384519028208025
13,PU-14,新北市,三重區,仁化街,241,-0.5329096912317677,5,2,4,4,4,1,41.583333333333336,-1.5507473225206818,-0.8193256863726953,0.0,299695,2772475,,-1.4708935342128469,-0.9475992656328656,-0.4384519028208025
14,PU-15,台中市,北屯區,軍福十五路,406,-0.5462723517026162,5,10,15,10,4,0,3.5,-0.1184235203155372,1.46852780414957,2.0,222011,2674321,,-0.3121707479285284,-0.1080830520614228,-0.4384519028208025
15,PU-16,高雄市,前鎮區,一心二路,806,-0.4318485630304758,5,5,5,4,4,1,41.583333333333336,-0.8101675467314996,-0.8193256863726953,0.0,178964,2501477,,-0.1503569213282769,-1.6420771089734696,-0.4384519028208025
16,PU-17,台北市,信義區,松隆路,110,0.4559512171730239,5,2,5,2,4,1,41.41666666666666,-0.4355686221275069,0.7671871662717114,1.0,307786,2771302,,0.0357855575230612,0.9105982070892914,-0.4384519028208025
17,PU-18,台北市,文山區,辛亥路七段,116,-0.3127862968927353,5,2,10,2,4,2,21.58333333333333,-0.7745461766004452,-0.8193256863726953,0.0,306026,2763849,,-0.9727219456760584,-0.0910197143872065,-0.4384519028208025
