ID,單價
PU-1,1.6023731
PU-2,1.6714835
PU-3,2.6178043
PU-4,1.6180906
PU-5,3.6519377
PU-6,1.6627718
PU-7,1.852804
PU-8,1.7062345
PU-9,1.499415
PU-10,1.5980364
PU-11,1.0374694
PU-12,3.8345177
PU-13,0.903049
PU-14,1.9960132
PU-15,1.45053
PU-16,1.0038456
PU-17,2.8704748
PU-18,2.7483685
PU-19,0.96166414
PU-20,2.9593358
PU-21,1.6841118
PU-22,1.5579258
PU-23,3.3826823
PU-24,1.4048581
PU-25,2.467551
PU-26,1.934576
PU-27,2.2563362
PU-28,1.6403583
PU-29,2.624236
PU-30,1.6886814
PU-31,4.069587
PU-32,1.2871604
PU-33,2.8327951
PU-34,1.7115505
PU-35,1.7195842
PU-36,1.3740869
PU-37,1.67598
PU-38,3.0819724
PU-39,2.568805
PU-40,2.1620896
PU-41,1.7915125
PU-42,1.3063942
PU-43,1.4266793
PU-44,2.038187
PU-45,1.7943012
PU-46,0.906328
PU-47,1.4956391
PU-48,1.2134767
PU-49,0.72947204
PU-50,2.567865
PU-51,2.79231
PU-52,2.1866724
PU-53,2.179789
PU-54,2.5400236
PU-55,1.0151596
PU-56,4.265688
PU-57,3.1472337
PU-58,2.5756173
PU-59,1.7293199
PU-60,2.4441917
PU-61,1.319727
PU-62,1.2810042
PU-63,2.0366342
PU-64,1.3270661
PU-65,5.375246
PU-66,1.9285182
PU-67,1.9723228
PU-68,1.0511361
PU-69,1.3190346
PU-70,1.9496505
PU-71,1.7739476
PU-72,2.5690627
PU-73,1.6229161
PU-74,2.550828
PU-75,1.887104
PU-76,0.99864584
PU-77,2.2010932
PU-78,0.70071393
PU-79,1.4845413
PU-80,1.1814086
PU-81,1.2960985
PU-82,1.3001475
PU-83,1.6012969
PU-84,2.0001302
PU-85,3.9543002
PU-86,1.147066
PU-87,2.8397038
PU-88,1.0306282
PU-89,3.7077086
PU-90,3.0726886
PU-91,0.8101145
PU-92,0.9301246
PU-93,2.8386748
PU-94,1.7281035
PU-95,2.0520577
PU-96,1.7566429
PU-97,1.3687041
PU-98,2.1319802
PU-99,1.8747562
PU-100,0.92595184
PU-101,1.2943608
PU-102,1.4032627
PU-103,1.3403978
PU-104,1.3686306
PU-105,2.3977292
PU-106,1.3014704
PU-107,0.88219917
PU-108,1.4425843
PU-109,2.1183188
PU-110,1.5917398
PU-111,1.2930181
PU-112,2.2185884
PU-113,1.7331601
PU-114,1.9770075
PU-115,1.9371572
PU-116,1.6919318
PU-117,1.823878
PU-118,1.3626453
PU-119,1.0582081
PU-120,1.4131173
PU-121,1.0612824
PU-122,2.044163
PU-123,2.8977137
PU-124,2.1132057
PU-125,1.9486644
PU-126,4.3847976
PU-127,1.9586254
PU-128,2.0003204
PU-129,1.296902
PU-130,1.2080845
PU-131,2.5658596
PU-132,1.0098957
PU-133,2.067586
PU-134,1.4319985
PU-135,1.979733
PU-136,1.9986467
PU-137,1.6288311
PU-138,2.1174135
PU-139,1.3945332
PU-140,2.4899666
PU-141,3.9814336
PU-142,0.8467262
PU-143,2.264545
PU-144,1.2958773
PU-145,1.7814964
PU-146,1.7561136
PU-147,1.9879117
PU-148,1.0083809
PU-149,1.3051138
PU-150,1.6570061
PU-151,1.2124618
